protocol,scenario,file_size,run,time,throughput,bytes,retransmissions,dns_time,status_code,body_size
rudp,B,100kb,1,4.421980,10829.31,47887,0,0.10096883773803711,200,47887
rudp,B,100kb,1,6.677675,7937.94,53007,0,1.1658778190612793,200,53007
rudp,C,100kb,1,5.614000,4517.10,25359,0,0.20070195198059082,200,25359
rudp,C,100kb,1,8.726167,6543.88,57103,0,0.2007894515991211,200,57103
rudp,C,100kb,1,4.609873,3279.70,15119,0,0.20091533660888672,200,15119
rudp,C,100kb,1,4.417817,2958.70,13071,0,1.2470018863677979,200,13071
rudp,C,100kb,1,7.518692,4598.54,34575,0,0.2007160186767578,200,34575
rudp,C,100kb,1,5.412639,4306.77,23311,0,1.244828462600708,200,23311
rudp,C,100kb,1,8.727584,6542.82,57103,0,0.20078396797180176,200,57103
rudp,C,100kb,1,11.138920,7332.76,81679,0,1.2482140064239502,200,81679
rudp,C,100kb,1,4.610924,3278.95,15119,0,0.2011563777923584,200,15119
